,Email Address,Website,Newsletter,Tasting,Call,Visits,Customer_Segment,Wealth Range Estimate,Status,Date,CS_Index,Marketing,new_column,Tasting Per Visit,Wealth Label,Casual Visitor,High Roller,Luxury Estate,Wine Enthusiast
20,rmcl9@googlemail.com,0.0,0.0,542.48,0.0,3.0,Casual Visitor,$200-400k,1,1/2/20 1:37,1.0,Email,1,180.83,2,1,0,0,0
21,jclarke1@earthlink.net,0.0,0.0,325.05,0.0,3.0,Casual Visitor,$200-400k,1,1/2/20 1:58,1.0,Email,1,108.35,2,1,0,0,0
22,acas51@me.com,0.0,0.0,437.98,0.0,3.0,Casual Visitor,$200-400k,1,1/2/20 7:27,1.0,Email,1,145.99,2,1,0,0,0
23,bgra16@charter.net,0.0,0.0,168.15,0.0,2.0,Casual Visitor,$100-200k,1,1/2/20 7:29,1.0,Email,1,84.08,0,1,0,0,0
24,frazier3@msn.com,0.0,26.05,607.92,0.0,4.0,Casual Visitor,$400-800k,1,1/2/20 8:33,1.0,Email,1,151.98,3,1,0,0,0
25,gallison@verizon.net,0.0,0.0,213.16,0.0,1.0,Casual Visitor,$100-200k,1,1/2/20 11:03,1.0,Email,1,213.16,0,1,0,0,0
26,shaffer3@cox.net,0.0,0.0,83.26,0.0,2.0,Casual Visitor,$200-400k,1,1/2/20 12:05,1.0,Email,1,41.63,2,1,0,0,0
27,jscott6@juno.com,0.0,0.0,172.5,0.0,2.0,Casual Visitor,$200-400k,1,1/2/20 13:46,1.0,Email,1,86.25,2,1,0,0,0
28,jroberts@msn.com,483.26,33.97,0.0,0.0,0.0,Wine Enthusiast,$200-400k,1,1/2/20 17:10,4.0,Email,1,,2,0,0,0,1
29,hopkinsr@verizon.net,0.0,36.67,51.82,0.0,4.0,Casual Visitor,$400-800k,1,1/2/20 17:24,1.0,Email,1,12.96,3,1,0,0,0
30,p.quinn@comcast.net,0.0,0.0,226.0,0.0,2.0,Casual Visitor,$200-400k,1,1/2/20 18:05,1.0,Email,1,113.0,2,1,0,0,0
31,diazc@msn.com,0.0,0.0,137.1,0.0,2.0,Casual Visitor,$200-400k,1,1/2/20 18:21,1.0,Email,1,68.55,2,1,0,0,0
32,mwatson3@facebook.com,0.0,0.0,432.43,0.0,3.0,Casual Visitor,$200-400k,1,1/2/20 18:38,1.0,Email,1,144.14,2,1,0,0,0
33,oliverl@att.net,0.0,317.01,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/2/20 18:53,3.0,Concierge,1,,3,0,0,1,0
34,m.green@earthlink.net,0.0,0.0,0.0,264.38,0.0,High Roller,$400-800k,1,1/2/20 19:34,2.0,Concierge,1,,3,0,1,0,0
35,tpena5@aol.com,0.0,0.0,463.67,0.0,4.0,Casual Visitor,$400-800k,1,1/2/20 20:07,1.0,Email,1,115.92,3,1,0,0,0
36,bmitchell7@aol.com,0.0,0.0,134.18,0.0,1.0,Casual Visitor,$100-200k,1,1/2/20 20:21,1.0,Email,1,134.18,0,1,0,0,0
37,beaa86@earthlink.net,0.0,343.27,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/2/20 22:53,3.0,Concierge,1,,4,0,0,1,0
38,mhoffman2@googlemail.com,0.0,0.0,380.8,0.0,3.0,Casual Visitor,$200-400k,1,1/2/20 22:53,1.0,Email,1,126.93,2,1,0,0,0
39,richardsonk@msn.com,0.0,0.0,221.27,0.0,3.0,Casual Visitor,$200-400k,1,1/2/20 23:13,1.0,Email,1,73.76,2,1,0,0,0
40,halel@google.com,0.0,0.0,64.92,0.0,1.0,Casual Visitor,$100-200k,1,1/3/20 1:13,1.0,Email,1,64.92,0,1,0,0,0
41,dono59@cox.net,0.0,0.0,217.49,0.0,2.0,Casual Visitor,$100-200k,1,1/3/20 1:56,1.0,Email,1,108.74,0,1,0,0,0
42,d.white@verizon.net,0.0,129.25,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/3/20 3:12,3.0,Concierge,1,,3,0,0,1,0
43,cmoore@hotmail.com,0.0,546.55,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/3/20 3:44,3.0,Concierge,1,,4,0,0,1,0
44,m.baker@bellsouth.net,0.0,0.0,302.72,0.0,2.0,Casual Visitor,$200-400k,1,1/3/20 3:55,1.0,Email,1,151.36,2,1,0,0,0
45,cmoore9@cox.net,0.0,0.0,440.74,0.0,4.0,Casual Visitor,$400-800k,1,1/3/20 4:28,1.0,Email,1,110.18,3,1,0,0,0
46,jcoo46@facebook.com,0.0,64.37,131.42,0.0,3.0,Casual Visitor,$400-800k,1,1/3/20 4:58,1.0,Email,1,43.81,3,1,0,0,0
47,wchoi@earthlink.net,0.0,0.0,111.75,0.0,3.0,Casual Visitor,$200-400k,1,1/3/20 5:06,1.0,Email,1,37.25,2,1,0,0,0
48,evah9@googlemail.com,0.0,0.0,319.95,0.0,2.0,Casual Visitor,$200-400k,1,1/3/20 6:22,1.0,Email,1,159.98,2,1,0,0,0
49,a.snyder@google.com,0.0,254.86,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/3/20 6:22,3.0,Concierge,1,,4,0,0,1,0
50,lsch5@bellsouth.net,0.0,94.97,182.58,0.0,3.0,Casual Visitor,$400-800k,1,1/3/20 6:37,1.0,Email,1,60.86,3,1,0,0,0
51,alowe@googlemail.com,0.0,0.0,98.04,0.0,3.0,Casual Visitor,$200-400k,1,1/3/20 6:55,1.0,Email,1,32.68,2,1,0,0,0
52,norrish@bellsouth.net,96.99,721.49,131.63,210.37,1.0,Luxury Estate,Above $1800k,1,1/3/20 7:56,3.0,Concierge,1,131.63,5,0,0,1,0
53,iwatts9@verizon.net,0.0,0.0,45.65,0.0,3.0,Casual Visitor,$200-400k,1,1/3/20 11:35,1.0,Email,1,15.22,2,1,0,0,0
54,d.collins@msn.com,0.0,204.83,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/3/20 12:21,3.0,Concierge,1,,4,0,0,1,0
55,cunninghamf@me.com,0.0,368.88,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/3/20 13:10,3.0,Concierge,1,,3,0,0,1,0
56,dhamilton2@live.com,0.0,260.85,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/3/20 14:33,3.0,Concierge,1,,3,0,0,1,0
57,e.griffin@gmail.com,0.0,0.0,306.29,0.0,2.0,Casual Visitor,$100-200k,1,1/3/20 17:49,1.0,Email,1,153.15,0,1,0,0,0
58,bpalmer7@aol.com,0.0,0.0,212.23,0.0,1.0,Casual Visitor,$100-200k,1,1/3/20 19:10,1.0,Email,1,212.23,0,1,0,0,0
59,gtor44@juno.com,0.0,0.0,158.62,0.0,3.0,Casual Visitor,$200-400k,1,1/3/20 21:02,1.0,Email,1,52.87,2,1,0,0,0
60,cnichols6@verizon.net,0.0,169.38,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/3/20 21:09,3.0,Concierge,1,,4,0,0,1,0
61,amorris6@me.com,370.36,233.23,889.65,94.31,4.0,Wine Enthusiast,$800-1200k,1,1/3/20 21:26,4.0,Email,1,222.41,4,0,0,0,1
62,asny32@me.com,0.0,313.81,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/4/20 4:04,3.0,Concierge,1,,3,0,0,1,0
63,ahernandez@gmail.com,0.0,0.0,118.69,0.0,1.0,Casual Visitor,Below $100k,1,1/4/20 4:53,1.0,Email,1,118.69,6,1,0,0,0
64,arodriguez1@me.com,186.47,76.07,156.83,0.0,1.0,Wine Enthusiast,$200-400k,1,1/4/20 4:57,4.0,Email,1,156.83,2,0,0,0,1
65,i.villanueva@juno.com,0.0,0.0,205.07,0.0,3.0,Casual Visitor,$200-400k,1,1/4/20 6:27,1.0,Email,1,68.36,2,1,0,0,0
66,bres48@live.com,0.0,57.69,679.37,0.0,4.0,Casual Visitor,$400-800k,1,1/4/20 6:47,1.0,Email,1,169.84,3,1,0,0,0
67,j.sexton@sbcglobal.net,0.0,0.0,218.54,0.0,2.0,Casual Visitor,$200-400k,1,1/4/20 11:15,1.0,Email,1,109.27,2,1,0,0,0
68,k.rice@mac.com,156.71,0.0,0.0,0.0,0.0,Wine Enthusiast,$200-400k,1,1/4/20 11:39,4.0,Email,1,,2,0,0,0,1
69,carsonj@google.com,0.0,0.0,272.22,0.0,2.0,Casual Visitor,$200-400k,1,1/4/20 12:15,1.0,Email,1,136.11,2,1,0,0,0
70,m.bishop@hotmail.com,0.0,0.0,58.99,0.0,1.0,Wine Enthusiast,$100-200k,1,1/4/20 12:28,4.0,Email,1,58.99,0,0,0,0,1
71,snyder2@bellsouth.net,0.0,0.0,108.95,0.0,1.0,Casual Visitor,$100-200k,1,1/4/20 13:07,1.0,Email,1,108.95,0,1,0,0,0
72,jjohnson2@charter.net,0.0,0.0,452.84,0.0,3.0,Casual Visitor,$200-400k,1,1/4/20 13:42,1.0,Email,1,150.95,2,1,0,0,0
73,whites@live.com,0.0,0.0,497.53,0.0,3.0,Casual Visitor,$200-400k,1,1/4/20 14:59,1.0,Email,1,165.84,2,1,0,0,0
74,p.strong@charter.net,0.0,0.0,444.72,0.0,4.0,Casual Visitor,$200-400k,1,1/4/20 15:10,1.0,Email,1,111.18,2,1,0,0,0
75,browne@yahoo.com,0.0,0.0,129.77,0.0,1.0,Casual Visitor,Below $100k,1,1/4/20 15:29,1.0,Email,1,129.77,6,1,0,0,0
76,pthompson9@google.com,0.0,0.0,209.68,0.0,1.0,Casual Visitor,Below $100k,1,1/4/20 15:50,1.0,Email,1,209.68,6,1,0,0,0
77,gcom16@comcast.net,0.0,0.0,142.01,0.0,2.0,Casual Visitor,$100-200k,1,1/4/20 17:17,1.0,Email,1,71.0,0,1,0,0,0
78,thomasm@googlemail.com,0.0,0.0,120.44,0.0,2.0,Casual Visitor,$100-200k,1,1/4/20 18:15,1.0,Email,1,60.22,0,1,0,0,0
79,bevh9@hotmail.com,0.0,0.0,85.25,0.0,2.0,Casual Visitor,$200-400k,1,1/4/20 18:38,1.0,Email,1,42.62,2,1,0,0,0
80,ashl44@googlemail.com,0.0,46.46,440.7,0.0,3.0,Casual Visitor,$400-800k,1,1/4/20 19:02,1.0,Email,1,146.9,3,1,0,0,0
81,cark1@juno.com,0.0,0.0,214.36,0.0,2.0,Casual Visitor,$200-400k,1,1/4/20 20:53,1.0,Email,1,107.18,2,1,0,0,0
82,rlopez@aol.com,0.0,272.0,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/4/20 22:19,3.0,Concierge,1,,3,0,0,1,0
83,ncur17@bellsouth.net,604.91,660.93,4991.29,1049.08,10.0,High Roller,$1200-1800k,1,1/4/20 23:55,2.0,Concierge,1,499.13,1,0,1,0,0
84,smith8@charter.net,0.0,56.69,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/5/20 3:44,3.0,Concierge,1,,3,0,0,1,0
85,callahanj@facebook.com,0.0,0.0,24.74,0.0,3.0,Casual Visitor,$200-400k,1,1/5/20 4:06,1.0,Email,1,8.25,2,1,0,0,0
86,bishop2@google.com,0.0,0.0,88.99,0.0,2.0,Casual Visitor,$200-400k,1,1/5/20 5:40,1.0,Email,1,44.5,2,1,0,0,0
87,gonzales9@yahoo.com,0.0,43.25,674.26,0.0,4.0,Casual Visitor,$400-800k,1,1/5/20 10:10,1.0,Email,1,168.56,3,1,0,0,0
88,stanleyj@me.com,0.0,28.61,523.84,0.0,4.0,Casual Visitor,$400-800k,1,1/5/20 10:30,1.0,Email,1,130.96,3,1,0,0,0
89,kingc@gmail.com,0.0,0.0,0.0,659.38,0.0,High Roller,$400-800k,1,1/5/20 11:19,2.0,Concierge,1,,3,0,1,0,0
90,halexander4@gmail.com,0.0,0.0,102.34,0.0,2.0,Casual Visitor,$200-400k,1,1/5/20 14:46,1.0,Email,1,51.17,2,1,0,0,0
91,gilbertw@me.com,0.0,0.0,302.74,0.0,3.0,Casual Visitor,$200-400k,1,1/5/20 16:45,1.0,Email,1,100.91,2,1,0,0,0
92,mgonzalez@mac.com,70.18,40.04,736.83,0.0,4.0,Casual Visitor,$400-800k,1,1/5/20 16:52,1.0,Email,1,184.21,3,1,0,0,0
93,fnor75@googlemail.com,40.71,85.79,492.78,0.0,4.0,Casual Visitor,$400-800k,1,1/5/20 17:08,1.0,Email,1,123.2,3,1,0,0,0
94,mswanson6@facebook.com,0.0,0.0,304.81,0.0,3.0,Casual Visitor,$200-400k,1,1/5/20 18:22,1.0,Email,1,101.6,2,1,0,0,0
95,mayd@google.com,590.09,1053.74,194.85,342.6,2.0,Luxury Estate,$400-800k,1,1/5/20 19:10,3.0,Concierge,1,97.42,3,0,0,1,0
96,carrillo6@earthlink.net,0.0,0.0,120.98,0.0,2.0,Casual Visitor,$200-400k,1,1/5/20 19:21,1.0,Email,1,60.49,2,1,0,0,0
97,j.klein@googlemail.com,0.0,143.69,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/5/20 22:29,3.0,Concierge,1,,3,0,0,1,0
98,day4@juno.com,0.0,0.0,350.2,0.0,2.0,Casual Visitor,$200-400k,1,1/5/20 22:38,1.0,Email,1,175.1,2,1,0,0,0
99,rharrison6@mac.com,0.0,0.0,101.67,0.0,1.0,Casual Visitor,Below $100k,1,1/6/20 0:39,1.0,Email,1,101.67,6,1,0,0,0
100,kims9@msn.com,0.0,0.0,330.96,0.0,3.0,Casual Visitor,$200-400k,1,1/6/20 6:43,1.0,Email,1,110.32,2,1,0,0,0
101,kelb76@comcast.net,0.0,0.0,196.39,0.0,2.0,Casual Visitor,$200-400k,1,1/6/20 7:08,1.0,Email,1,98.2,2,1,0,0,0
102,epierce@comcast.net,0.0,0.0,46.24,0.0,1.0,Casual Visitor,Below $100k,1,1/6/20 8:50,1.0,Email,1,46.24,6,1,0,0,0
103,jmccullough5@att.net,0.0,0.0,82.61,0.0,1.0,Casual Visitor,$100-200k,1,1/6/20 9:16,1.0,Email,1,82.61,0,1,0,0,0
104,btay18@juno.com,0.0,0.0,227.3,0.0,2.0,Casual Visitor,$200-400k,1,1/6/20 10:32,1.0,Email,1,113.65,2,1,0,0,0
105,ghal31@gmx.com,0.0,0.0,285.86,0.0,3.0,Casual Visitor,$400-800k,1,1/6/20 12:29,1.0,Email,1,95.29,3,1,0,0,0
106,k.reid@att.net,1970.58,317.64,5144.12,107.92,10.0,High Roller,$400-800k,1,1/6/20 14:17,2.0,Concierge,1,514.41,3,0,1,0,0
107,gambleb@sbcglobal.net,4.0,0.0,109.2,0.0,4.0,Casual Visitor,$400-800k,1,1/6/20 15:24,1.0,Email,1,27.3,3,1,0,0,0
108,rodriguez4@google.com,0.0,0.0,254.48,0.0,2.0,Casual Visitor,$100-200k,1,1/6/20 16:18,1.0,Email,1,127.24,0,1,0,0,0
109,b.hall@yahoo.com,0.0,0.0,73.0,0.0,1.0,Casual Visitor,$100-200k,1,1/6/20 16:19,1.0,Email,1,73.0,0,1,0,0,0
110,jong52@bellsouth.net,0.0,0.0,493.52,0.0,3.0,Casual Visitor,$200-400k,1,1/6/20 22:06,1.0,Email,1,164.51,2,1,0,0,0
111,tthompson2@juno.com,180.7,0.0,132.34,0.0,1.0,Wine Enthusiast,$100-200k,1,1/6/20 22:46,4.0,Email,1,132.34,0,0,0,0,1
112,peterson2@googlemail.com,0.0,0.0,0.0,366.01,0.0,High Roller,$400-800k,1,1/6/20 23:34,2.0,Concierge,1,,3,0,1,0,0
113,rcooper4@juno.com,0.0,0.0,217.26,0.0,2.0,Casual Visitor,$200-400k,1,1/7/20 2:57,1.0,Email,1,108.63,2,1,0,0,0
114,arroyo7@earthlink.net,0.0,0.0,340.78,0.0,2.0,Casual Visitor,$200-400k,1,1/7/20 3:07,1.0,Email,1,170.39,2,1,0,0,0
115,cjoh97@googlemail.com,0.0,0.0,212.18,0.0,1.0,Casual Visitor,$100-200k,1,1/7/20 5:54,1.0,Email,1,212.18,0,1,0,0,0
116,wlee@mac.com,0.0,0.0,65.64,0.0,2.0,Casual Visitor,$200-400k,1,1/7/20 7:06,1.0,Email,1,32.82,2,1,0,0,0
117,jjohnson3@gmail.com,117.9,45.29,53.73,0.0,4.0,Casual Visitor,$400-800k,1,1/7/20 7:47,1.0,Email,1,13.43,3,1,0,0,0
118,i.herrera@comcast.net,0.0,266.71,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/7/20 8:44,3.0,Concierge,1,,3,0,0,1,0
119,rpark@sbcglobal.net,0.0,0.0,0.0,244.57,0.0,High Roller,$400-800k,1,1/7/20 11:01,2.0,Concierge,1,,3,0,1,0,0
120,mmurphy@hotmail.com,0.0,0.0,183.96,0.0,1.0,Casual Visitor,Below $100k,1,1/7/20 13:04,1.0,Email,1,183.96,6,1,0,0,0
121,mfuller3@live.com,0.0,0.0,167.45,0.0,2.0,Casual Visitor,$200-400k,1,1/7/20 13:15,1.0,Email,1,83.72,2,1,0,0,0
122,hogana@comcast.net,0.0,0.0,512.95,0.0,4.0,Casual Visitor,$200-400k,1,1/7/20 16:08,1.0,Email,1,128.24,2,1,0,0,0
123,dwallace@gmx.com,0.0,464.71,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/7/20 17:13,3.0,Concierge,1,,4,0,0,1,0
124,parker2@hotmail.com,0.0,0.0,159.01,0.0,3.0,Casual Visitor,$200-400k,1,1/7/20 19:09,1.0,Email,1,53.0,2,1,0,0,0
125,m.estrada@sbcglobal.net,0.0,82.25,160.81,0.0,4.0,Casual Visitor,$400-800k,1,1/8/20 1:50,1.0,Email,1,40.2,3,1,0,0,0
126,d.smith@mac.com,0.0,0.0,318.06,0.0,4.0,Casual Visitor,$400-800k,1,1/8/20 2:30,1.0,Email,1,79.52,3,1,0,0,0
127,apeters3@charter.net,0.0,0.0,274.26,0.0,2.0,Casual Visitor,$100-200k,1,1/8/20 3:46,1.0,Email,1,137.13,0,1,0,0,0
128,melr3@gmail.com,0.0,42.44,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/8/20 5:36,3.0,Concierge,1,,3,0,0,1,0
129,hobbs8@msn.com,0.0,0.0,310.68,0.0,3.0,Casual Visitor,$200-400k,1,1/8/20 7:10,1.0,Email,1,103.56,2,1,0,0,0
130,rcol20@earthlink.net,0.0,328.4,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/8/20 8:29,3.0,Concierge,1,,3,0,0,1,0
131,louv60@bellsouth.net,0.0,0.0,218.07,0.0,2.0,Casual Visitor,$200-400k,1,1/8/20 11:02,1.0,Email,1,109.04,2,1,0,0,0
132,bschmitt7@verizon.net,0.0,0.0,76.55,0.0,1.0,Casual Visitor,Below $100k,1,1/8/20 12:44,1.0,Email,1,76.55,6,1,0,0,0
133,dnorman8@me.com,0.0,0.0,82.4,0.0,3.0,Casual Visitor,$200-400k,1,1/8/20 16:55,1.0,Email,1,27.47,2,1,0,0,0
134,booth2@facebook.com,0.0,0.0,98.41,0.0,3.0,Casual Visitor,$200-400k,1,1/8/20 17:20,1.0,Email,1,32.8,2,1,0,0,0
135,e.harmon@earthlink.net,117.93,147.01,60.37,0.0,1.0,Wine Enthusiast,$400-800k,1,1/8/20 17:20,4.0,Email,1,60.37,3,0,0,0,1
136,adrl88@googlemail.com,0.0,0.0,426.35,0.0,3.0,Casual Visitor,$200-400k,1,1/8/20 17:31,1.0,Email,1,142.12,2,1,0,0,0
137,murray1@hotmail.com,0.0,30.1,441.46,0.0,3.0,Casual Visitor,$400-800k,1,1/8/20 18:21,1.0,Email,1,147.15,3,1,0,0,0
138,l.santiago@juno.com,0.0,0.0,293.91,0.0,3.0,Casual Visitor,$200-400k,1,1/8/20 23:17,1.0,Email,1,97.97,2,1,0,0,0
139,brooks7@mac.com,0.0,0.0,96.41,0.0,3.0,Casual Visitor,$200-400k,1,1/8/20 23:46,1.0,Email,1,32.14,2,1,0,0,0
140,rlogan8@aol.com,0.0,0.0,705.22,0.0,4.0,Casual Visitor,$400-800k,1,1/8/20 23:53,1.0,Email,1,176.3,3,1,0,0,0
141,hubbard1@hotmail.com,0.0,0.0,310.56,0.0,1.0,Wine Enthusiast,$100-200k,1,1/9/20 0:15,4.0,Email,1,310.56,0,0,0,0,1
142,r.calhoun@att.net,0.0,0.0,115.95,0.0,2.0,Casual Visitor,$200-400k,1,1/9/20 1:14,1.0,Email,1,57.98,2,1,0,0,0
143,stea48@verizon.net,0.0,0.0,90.18,0.0,2.0,Casual Visitor,$200-400k,1,1/9/20 1:16,1.0,Email,1,45.09,2,1,0,0,0
144,wagner9@cox.net,142.52,30.04,397.36,0.0,4.0,Casual Visitor,$400-800k,1,1/9/20 1:35,1.0,Email,1,99.34,3,1,0,0,0
145,lwalters7@mail.com,0.0,0.0,128.14,0.0,2.0,Casual Visitor,$100-200k,1,1/9/20 1:46,1.0,Email,1,64.07,0,1,0,0,0
146,cwood@me.com,493.9,0.0,0.0,0.0,0.0,Wine Enthusiast,$200-400k,1,1/9/20 2:02,4.0,Email,1,,2,0,0,0,1
147,mjon98@yahoo.com,0.0,0.0,209.61,0.0,2.0,Casual Visitor,$100-200k,1,1/9/20 2:30,1.0,Email,1,104.8,0,1,0,0,0
148,gallagherw@mac.com,0.0,121.53,229.34,0.0,3.0,Casual Visitor,$400-800k,1,1/9/20 3:02,1.0,Email,1,76.45,3,1,0,0,0
149,sherman9@earthlink.net,0.0,0.0,169.75,0.0,1.0,Casual Visitor,Below $100k,1,1/9/20 3:15,1.0,Email,1,169.75,6,1,0,0,0
150,t.ramos@juno.com,0.0,67.37,443.37,0.0,4.0,Casual Visitor,$400-800k,1,1/9/20 3:59,1.0,Email,1,110.84,3,1,0,0,0
151,n.sherman@gmx.com,0.0,0.0,176.98,0.0,1.0,Casual Visitor,Below $100k,1,1/9/20 5:26,1.0,Email,1,176.98,6,1,0,0,0
152,long4@yahoo.com,0.0,0.0,27.94,0.0,3.0,Casual Visitor,$200-400k,1,1/9/20 12:11,1.0,Email,1,9.31,2,1,0,0,0
153,epen80@att.net,0.0,0.0,45.56,0.0,1.0,Casual Visitor,$100-200k,1,1/9/20 13:30,1.0,Email,1,45.56,0,1,0,0,0
154,gerc65@bellsouth.net,0.0,0.0,145.92,0.0,2.0,Casual Visitor,$200-400k,1,1/9/20 14:13,1.0,Email,1,72.96,2,1,0,0,0
155,e.garza@charter.net,0.0,187.62,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/9/20 15:13,3.0,Concierge,1,,3,0,0,1,0
156,valdezr@comcast.net,0.0,186.79,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/9/20 17:53,3.0,Concierge,1,,4,0,0,1,0
157,nhen82@bellsouth.net,395.67,0.0,0.0,0.0,0.0,Wine Enthusiast,$100-200k,1,1/9/20 20:12,4.0,Email,1,,0,0,0,0,1
158,b.robertson@charter.net,0.0,0.0,246.84,0.0,3.0,Casual Visitor,$200-400k,1,1/9/20 20:30,1.0,Email,1,82.28,2,1,0,0,0
159,mevans9@bellsouth.net,0.0,0.0,441.67,0.0,3.0,Casual Visitor,$200-400k,1,1/9/20 21:09,1.0,Email,1,147.22,2,1,0,0,0
160,s.perry@att.net,0.0,0.0,340.96,0.0,3.0,Casual Visitor,$200-400k,1,1/9/20 22:05,1.0,Email,1,113.65,2,1,0,0,0
161,johnston6@mac.com,0.0,41.72,45.98,0.0,4.0,Casual Visitor,$400-800k,1,1/9/20 22:06,1.0,Email,1,11.5,3,1,0,0,0
162,smiller@facebook.com,0.0,0.0,97.07,0.0,1.0,Casual Visitor,Below $100k,1,1/9/20 22:32,1.0,Email,1,97.07,6,1,0,0,0
163,foley6@mail.com,0.0,369.98,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/10/20 1:44,3.0,Concierge,1,,3,0,0,1,0
164,amyt71@gmail.com,0.0,0.0,0.0,598.88,0.0,High Roller,$400-800k,1,1/10/20 1:47,2.0,Concierge,1,,3,0,1,0,0
165,geop48@sbcglobal.net,0.0,0.0,171.81,0.0,2.0,Casual Visitor,$100-200k,1,1/10/20 2:23,1.0,Email,1,85.9,0,1,0,0,0
166,ofra61@bellsouth.net,0.0,276.06,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/10/20 3:27,3.0,Concierge,1,,4,0,0,1,0
167,frab90@hotmail.com,0.0,385.01,0.0,0.0,0.0,Luxury Estate,$400-800k,1,1/10/20 7:15,3.0,Concierge,1,,3,0,0,1,0
