Member ID,Status,Email Address,Tasting Room Visited,Customer_Segment,Year Discontinued,LTV at Discontinuance,Wealth Range Estimate,Reason for Leaving
201400173,Discontinued,donm13@aol.com,No,Wine Enthusiast,2015,814.7,$200-400k,Staff not knowledgable
201400176,Discontinued,leob74@verizon.net,Yes,Casual Visitor,2015,305.84,$200-400k,
201400178,Discontinued,gfletcher@bellsouth.net,No,Wine Enthusiast,2014,1943.16,$400-800k,Staff not knowledgable
201400181,Discontinued,cgarza6@cox.net,Yes,Casual Visitor,2016,444.55,$200-400k,Not enough selection
201400193,Discontinued,r.cabrera@googlemail.com,Yes,Casual Visitor,2016,96.9,$200-400k,Staff not knowledgable
201400197,Discontinued,mtaylor@aol.com,Yes,Casual Visitor,2016,559.07,$100-200k,Poor service
201400200,Discontinued,welch7@charter.net,No,Wine Enthusiast,2015,809.52,$200-400k,Staff not knowledgable
201400205,Discontinued,aguilarc@live.com,Yes,Casual Visitor,2016,170.67,Below $100k,Prices too high
201400210,Discontinued,tsmith@comcast.net,No,Wine Enthusiast,2016,1819.75,$200-400k,Staff not knowledgable
201400213,Discontinued,gnov29@me.com,No,Wine Enthusiast,2016,780.92,$1200-1800k,Not enough selection
201400214,Discontinued,cedr43@cox.net,Yes,Casual Visitor,2016,183.96,$400-800k,Not enough selection
201400215,Discontinued,dgross@googlemail.com,No,Wine Enthusiast,2016,1381.42,$200-400k,Not enough selection
201400221,Discontinued,kwolf1@facebook.com,Yes,Casual Visitor,2016,744.03,Below $100k,Prices too high
201400222,Discontinued,cannonb@cox.net,Yes,Casual Visitor,2016,1000.46,$400-800k,Not enough selection
201400223,Discontinued,dwhite8@gmx.com,Yes,Casual Visitor,2016,1517.01,$200-400k,Poor service
201400225,Discontinued,juny80@juno.com,Yes,Wine Enthusiast,2016,1532.29,$200-400k,Staff not knowledgable
201400228,Discontinued,jbradford9@juno.com,Yes,Casual Visitor,2016,527.16,$100-200k,Poor service
201400239,Discontinued,aweb78@googlemail.com,No,Wine Enthusiast,2016,171.41,$100-200k,Staff not knowledgable
201400241,Discontinued,nanc55@comcast.net,Yes,Casual Visitor,2016,787.36,$200-400k,Not enough selection
201400242,Discontinued,donk80@earthlink.net,No,Wine Enthusiast,2016,2585.19,$800-1200k,Not enough selection
201400243,Discontinued,rblevins@comcast.net,Yes,Casual Visitor,2016,299.74,$200-400k,Prices too high
201400248,Discontinued,ljackson@yahoo.com,No,Wine Enthusiast,2014,803.48,$200-400k,Not enough selection
201400256,Discontinued,parker2@bellsouth.net,Yes,Casual Visitor,2016,126.97,$100-200k,
201400265,Discontinued,merh75@juno.com,No,Wine Enthusiast,2015,16347.96,Above $1800k,Prices too high
201400283,Discontinued,becw41@facebook.com,No,Wine Enthusiast,2016,1513.93,$200-400k,Staff not knowledgable
201400294,Discontinued,johc94@mac.com,No,Wine Enthusiast,2014,2081.03,$400-800k,Staff not knowledgable
201400301,Discontinued,savage8@comcast.net,Yes,Casual Visitor,2016,71.77,$100-200k,Poor service
201400310,Discontinued,anderson6@earthlink.net,No,Wine Enthusiast,2015,992.15,$200-400k,Not enough selection
201400313,Discontinued,marg26@sbcglobal.net,Yes,Casual Visitor,2016,176.62,$200-400k,
201400315,Discontinued,s.mason@aol.com,Yes,Casual Visitor,2015,618.48,$100-200k,Prices too high
201400335,Discontinued,barh10@charter.net,Yes,Casual Visitor,2016,537.12,Below $100k,Prices too high
201400336,Discontinued,h.morales@live.com,Yes,Casual Visitor,2016,107.27,$100-200k,Wine quality
201400337,Discontinued,b.floyd@gmail.com,No,Wine Enthusiast,2016,2139.19,$400-800k,Staff not knowledgable
201400343,Discontinued,card46@google.com,Yes,Casual Visitor,2016,518.19,$200-400k,Prices too high
201400357,Discontinued,near55@sbcglobal.net,Yes,Casual Visitor,2015,1010.27,$400-800k,
201400362,Discontinued,leonj@cox.net,Yes,Casual Visitor,2016,166.86,Below $100k,
201400363,Discontinued,sanders3@cox.net,Yes,Casual Visitor,2016,942.46,$100-200k,Wine quality
201400379,Discontinued,powell4@comcast.net,No,Luxury Estate,2016,556.35,$800-1200k,Prices too high
201400385,Discontinued,smithl@google.com,No,Wine Enthusiast,2015,927.09,$200-400k,Not enough selection
201400387,Discontinued,mcintyre3@me.com,No,Wine Enthusiast,2016,2642.07,$800-1200k,Staff not knowledgable
201400406,Discontinued,c.adams@live.com,Yes,Wine Enthusiast,2016,1347.18,$200-400k,Staff not knowledgable
201400409,Discontinued,harringtonb@googlemail.com,Yes,Casual Visitor,2015,167.55,$200-400k,Wine quality
201400411,Discontinued,kclay@mac.com,No,Wine Enthusiast,2016,2896.13,$800-1200k,Wine quality
201400413,Discontinued,jmartinez@verizon.net,Yes,Casual Visitor,2016,669.54,$200-400k,Prices too high
201400415,Discontinued,r.moreno@cox.net,Yes,Casual Visitor,2016,633.46,$400-800k,Prices too high
201400421,Discontinued,garciap@facebook.com,No,High Roller,2016,265.8,$400-800k,Poor service
201400425,Discontinued,vmar59@bellsouth.net,Yes,Casual Visitor,2015,215.12,$400-800k,Prices too high
201400428,Discontinued,brip65@googlemail.com,Yes,Casual Visitor,2015,628.26,$200-400k,Staff not knowledgable
201400434,Discontinued,r.miller@googlemail.com,Yes,Casual Visitor,2016,550.66,$200-400k,Prices too high
201400435,Discontinued,hopkins2@earthlink.net,Yes,Casual Visitor,2016,220.64,$200-400k,Prices too high
201400449,Discontinued,j.knight@earthlink.net,Yes,Casual Visitor,2016,334.57,$100-200k,Prices too high
201400459,Discontinued,marp58@verizon.net,Yes,Casual Visitor,2016,255.4,$200-400k,Poor service
201400460,Discontinued,agon83@gmx.com,Yes,Casual Visitor,2016,470.11,Below $100k,Staff not knowledgable
201400463,Discontinued,rosst@charter.net,Yes,Casual Visitor,2016,249.41,$200-400k,Prices too high
201400472,Discontinued,abaxter@mac.com,Yes,Casual Visitor,2016,773.75,Below $100k,Prices too high
201400485,Discontinued,hech27@mac.com,No,Wine Enthusiast,2014,889.64,$200-400k,Prices too high
201400495,Discontinued,dsutton6@juno.com,No,Wine Enthusiast,2016,2614.1,$800-1200k,Not enough selection
201400497,Discontinued,ernp32@gmail.com,No,Wine Enthusiast,2015,656.59,$1200-1800k,Staff not knowledgable
201400502,Discontinued,efarmer@sbcglobal.net,No,Wine Enthusiast,2014,653.62,$1200-1800k,Staff not knowledgable
201400506,Discontinued,slopez@msn.com,No,Wine Enthusiast,2016,786.96,$200-400k,Poor service
201400514,Discontinued,j.bean@verizon.net,No,Wine Enthusiast,2015,894.39,$200-400k,Staff not knowledgable
201400518,Discontinued,bhernandez4@google.com,No,Wine Enthusiast,2015,13738.37,Above $1800k,Not enough selection
201400535,Discontinued,jbru55@yahoo.com,No,Wine Enthusiast,2016,801.53,$1200-1800k,Staff not knowledgable
201400539,Discontinued,mjohnson4@gmail.com,Yes,Casual Visitor,2016,254.11,$200-400k,Prices too high
201400541,Discontinued,estr38@facebook.com,Yes,Casual Visitor,2016,612.06,$100-200k,Staff not knowledgable
201400542,Discontinued,mard57@gmx.com,Yes,Casual Visitor,2016,555.79,$200-400k,Prices too high
201400544,Discontinued,ellisb@juno.com,Yes,Casual Visitor,2015,847.46,$200-400k,Prices too high
201400550,Discontinued,k.reed@att.net,No,Wine Enthusiast,2015,149.25,$100-200k,Not enough selection
201400552,Discontinued,eharris2@gmail.com,No,Wine Enthusiast,2016,752.53,$200-400k,Not enough selection
201400568,Discontinued,kcox7@googlemail.com,No,Wine Enthusiast,2015,2953.32,$800-1200k,Staff not knowledgable
201400575,Discontinued,gpacheco6@juno.com,Yes,Casual Visitor,2016,648.46,$200-400k,Prices too high
201400583,Discontinued,lwest9@hotmail.com,Yes,Casual Visitor,2016,93.08,$200-400k,Staff not knowledgable
201400592,Discontinued,freb12@comcast.net,Yes,Casual Visitor,2015,879.71,$400-800k,Wine quality
201400595,Discontinued,bowers7@msn.com,Yes,Casual Visitor,2015,462.86,$200-400k,Prices too high
201400615,Discontinued,dixonl@juno.com,Yes,Casual Visitor,2016,57.71,$100-200k,Prices too high
201400622,Discontinued,mjon29@mail.com,Yes,Casual Visitor,2016,745.96,$100-200k,Prices too high
201400623,Discontinued,harb11@charter.net,No,Wine Enthusiast,2016,826.45,$200-400k,Prices too high
201400629,Discontinued,harringtonj@sbcglobal.net,No,Wine Enthusiast,2016,1056.9,$200-400k,Wine quality
201400634,Discontinued,d.oconnell@bellsouth.net,Yes,Casual Visitor,2016,856.92,$200-400k,Prices too high
201400649,Discontinued,t.gallegos@googlemail.com,Yes,Casual Visitor,2014,442.43,$100-200k,Prices too high
201400657,Discontinued,bjohnson@cox.net,No,Wine Enthusiast,2015,712.17,$200-400k,Staff not knowledgable
201400675,Discontinued,jfarrell@msn.com,Yes,Casual Visitor,2015,144.86,$400-800k,Poor service
201400679,Discontinued,everettp@cox.net,Yes,Casual Visitor,2015,301.36,$100-200k,
201400693,Discontinued,phillipsj@earthlink.net,No,Wine Enthusiast,2016,1992.65,$400-800k,Not enough selection
201400694,Discontinued,kmckee@charter.net,No,Wine Enthusiast,2016,151.48,$100-200k,Staff not knowledgable
201400697,Discontinued,warde@sbcglobal.net,Yes,Casual Visitor,2016,92.25,$200-400k,Not enough selection
201400698,Discontinued,pearsonj@cox.net,Yes,Casual Visitor,2016,414.98,$200-400k,Staff not knowledgable
201400699,Discontinued,nrobinson1@gmail.com,No,Wine Enthusiast,2016,745.87,$1200-1800k,
201400708,Discontinued,rdow12@bellsouth.net,Yes,Casual Visitor,2015,363.75,$200-400k,Not enough selection
201400723,Discontinued,skinnerf@sbcglobal.net,No,Wine Enthusiast,2015,846.3,$200-400k,Staff not knowledgable
201400741,Discontinued,elih82@bellsouth.net,Yes,Casual Visitor,2016,255.19,$200-400k,
201400744,Discontinued,magm60@me.com,Yes,Casual Visitor,2016,214.14,Below $100k,Wine quality
201400745,Discontinued,kria11@mac.com,Yes,Casual Visitor,2016,764.03,$400-800k,Wine quality
201400748,Discontinued,lste58@mail.com,Yes,Casual Visitor,2016,255.17,$200-400k,Prices too high
201400749,Discontinued,wagnerv@cox.net,Yes,Casual Visitor,2016,122.43,$200-400k,Prices too high
201400753,Discontinued,ivah36@googlemail.com,Yes,Casual Visitor,2016,788.46,$200-400k,Staff not knowledgable
201400756,Discontinued,wfri74@cox.net,No,Wine Enthusiast,2016,2346,$400-800k,Staff not knowledgable
201400760,Discontinued,hayden2@mail.com,No,Wine Enthusiast,2016,2114.72,$400-800k,Not enough selection
201400761,Discontinued,sbow52@mail.com,No,Wine Enthusiast,2014,2864.94,$800-1200k,Not enough selection
201400764,Discontinued,gsha71@verizon.net,No,Wine Enthusiast,2016,103.04,$100-200k,Staff not knowledgable
201400766,Discontinued,rossm@google.com,Yes,Casual Visitor,2016,148.48,$200-400k,Prices too high
201400770,Discontinued,awinters2@bellsouth.net,Yes,Casual Visitor,2016,242.66,$200-400k,Prices too high
201400791,Discontinued,alis34@aol.com,Yes,Casual Visitor,2016,97.32,$200-400k,Prices too high
201400804,Discontinued,jamh3@gmx.com,Yes,Casual Visitor,2014,744.09,$100-200k,Prices too high
201400811,Discontinued,stewart9@earthlink.net,Yes,Casual Visitor,2015,576.96,$400-800k,Staff not knowledgable
201400813,Discontinued,pricea@verizon.net,Yes,Casual Visitor,2016,311.05,$200-400k,Poor service
201400824,Discontinued,r.sanchez@yahoo.com,Yes,Casual Visitor,2016,435.17,$100-200k,Prices too high
201400826,Discontinued,clee8@verizon.net,No,Wine Enthusiast,2016,2110.38,$400-800k,Poor service
201400832,Discontinued,campbell8@mail.com,Yes,Casual Visitor,2014,319.64,$400-800k,Prices too high
201400833,Discontinued,lwiggins@aol.com,No,Wine Enthusiast,2016,1868.27,$200-400k,Not enough selection
201400847,Discontinued,s.jackson@charter.net,No,Wine Enthusiast,2016,1078.66,$200-400k,Not enough selection
201400854,Discontinued,bcla12@mail.com,No,Wine Enthusiast,2016,1849.74,$200-400k,Not enough selection
201400856,Discontinued,tabw68@verizon.net,Yes,Casual Visitor,2014,322.51,$200-400k,Prices too high
201400873,Discontinued,e.cox@hotmail.com,Yes,Casual Visitor,2016,464.24,Below $100k,Wine quality
201400876,Discontinued,rhicks4@bellsouth.net,No,Wine Enthusiast,2016,2108.99,$400-800k,Not enough selection
201400881,Discontinued,robinson1@sbcglobal.net,Yes,Wine Enthusiast,2016,606.01,$1200-1800k,Staff not knowledgable
201400883,Discontinued,rcarr@cox.net,Yes,Casual Visitor,2016,342.62,$400-800k,Not enough selection
201400888,Discontinued,rjon85@mail.com,No,High Roller,2016,370.77,$400-800k,Poor service
201400890,Discontinued,kgil86@earthlink.net,No,Wine Enthusiast,2014,1038.44,$200-400k,Staff not knowledgable
201400892,Discontinued,perezt@google.com,Yes,Casual Visitor,2015,320.59,$100-200k,Prices too high
201400893,Discontinued,kcrane@verizon.net,No,Wine Enthusiast,2016,2049.13,$400-800k,Poor service
201400897,Discontinued,jones5@mail.com,Yes,Casual Visitor,2016,928.16,$200-400k,
201400905,Discontinued,dsmith1@hotmail.com,Yes,Casual Visitor,2016,249.56,$200-400k,Poor service
201400911,Discontinued,agray@juno.com,Yes,Casual Visitor,2016,312.89,$100-200k,Poor service
201400913,Discontinued,nandrade@att.net,Yes,Casual Visitor,2016,322.72,$200-400k,Wine quality
201400916,Discontinued,lwarner4@googlemail.com,Yes,Casual Visitor,2016,107.4,Below $100k,Prices too high
201400917,Discontinued,msmith7@live.com,No,Wine Enthusiast,2016,12976.66,Above $1800k,Staff not knowledgable
201400922,Discontinued,cdav85@earthlink.net,Yes,Casual Visitor,2016,513.18,$200-400k,Prices too high
201400930,Discontinued,natw32@charter.net,No,Luxury Estate,2016,988.95,$400-800k,Not enough selection
201400936,Discontinued,morrow2@bellsouth.net,Yes,Casual Visitor,2016,1576.04,Below $100k,Prices too high
201400943,Discontinued,thof20@juno.com,Yes,Casual Visitor,2016,456.35,$200-400k,Prices too high
201400949,Discontinued,rlong2@aol.com,No,Wine Enthusiast,2016,1650.99,$200-400k,Not enough selection
201400959,Discontinued,g.patel@sbcglobal.net,Yes,Casual Visitor,2016,260.99,$400-800k,Not enough selection
201400963,Discontinued,lopez2@googlemail.com,Yes,Casual Visitor,2015,330.42,$100-200k,Poor service
201400972,Discontinued,judn28@mac.com,No,Wine Enthusiast,2015,805.88,$200-400k,Not enough selection
201400973,Discontinued,p.manning@hotmail.com,No,Wine Enthusiast,2016,39371.72,Above $1800k,Not enough selection
201400978,Discontinued,pmanning@msn.com,Yes,Casual Visitor,2016,265.01,$100-200k,Poor service
201400988,Discontinued,blynn@gmail.com,Yes,Casual Visitor,2015,1259.29,$200-400k,Wine quality
201400992,Discontinued,kirn73@juno.com,No,Wine Enthusiast,2016,1692.31,$200-400k,Staff not knowledgable
201500013,Discontinued,kcox4@verizon.net,No,Wine Enthusiast,2016,2341.46,$400-800k,Not enough selection
201500016,Discontinued,bailey9@msn.com,No,Wine Enthusiast,2016,689.75,$1200-1800k,Staff not knowledgable
201500019,Discontinued,tbel39@verizon.net,Yes,Casual Visitor,2016,224.18,$200-400k,Prices too high
201500029,Discontinued,wilson4@googlemail.com,No,Wine Enthusiast,2016,1024.12,$200-400k,Staff not knowledgable
201500033,Discontinued,c.sanchez@facebook.com,No,Wine Enthusiast,2016,2366.78,$400-800k,
201500037,Discontinued,millera@charter.net,Yes,Casual Visitor,2016,348.12,$200-400k,Staff not knowledgable
201500041,Discontinued,jenkins5@att.net,No,Wine Enthusiast,2016,266.43,$100-200k,Not enough selection
201500048,Discontinued,mavery6@bellsouth.net,Yes,Casual Visitor,2016,161.81,$400-800k,Not enough selection
201500063,Discontinued,aray1@hotmail.com,Yes,Casual Visitor,2016,117.99,Below $100k,Prices too high
201500094,Discontinued,kwil28@att.net,No,Luxury Estate,2015,304.04,$400-800k,Staff not knowledgable
201500099,Discontinued,jturner8@sbcglobal.net,No,Wine Enthusiast,2016,2396.35,$400-800k,
201500105,Discontinued,mjoh12@aol.com,No,Wine Enthusiast,2016,2942.48,$800-1200k,Not enough selection
201500136,Discontinued,jacobsl@google.com,No,High Roller,2016,487.74,$400-800k,Poor service
201500137,Discontinued,rest84@msn.com,No,Wine Enthusiast,2016,1439.83,$200-400k,Staff not knowledgable
201500148,Discontinued,srodriguez2@msn.com,No,Wine Enthusiast,2016,25947.97,Above $1800k,Staff not knowledgable
201500151,Discontinued,pestrada3@verizon.net,No,Wine Enthusiast,2015,286.04,$100-200k,Staff not knowledgable
201500159,Discontinued,jamest@mail.com,Yes,Casual Visitor,2016,743.44,$200-400k,Not enough selection
201500160,Discontinued,alopez@yahoo.com,Yes,Casual Visitor,2016,346.59,$200-400k,Wine quality
201500167,Discontinued,rchoi7@yahoo.com,No,Wine Enthusiast,2016,3657.72,$800-1200k,Not enough selection
201500170,Discontinued,huber8@hotmail.com,No,Wine Enthusiast,2016,1862.38,$200-400k,Not enough selection
201500174,Discontinued,carroll1@me.com,No,Wine Enthusiast,2016,590.39,$100-200k,Not enough selection
201500187,Discontinued,kriggs@msn.com,No,Wine Enthusiast,2015,1545.9,$200-400k,Not enough selection
201500193,Discontinued,garcias@live.com,Yes,Casual Visitor,2016,319.57,$200-400k,Staff not knowledgable
201500207,Discontinued,eroy1@me.com,No,Wine Enthusiast,2016,962.01,$1200-1800k,
201500211,Discontinued,marg95@juno.com,No,Wine Enthusiast,2015,8018.01,$800-1200k,
201500225,Discontinued,ffor18@mac.com,Yes,Casual Visitor,2016,306.04,$200-400k,Prices too high
201500226,Discontinued,loud45@cox.net,Yes,Casual Visitor,2016,85.12,$200-400k,Not enough selection
201500237,Discontinued,brown5@earthlink.net,No,Wine Enthusiast,2016,47111.62,Above $1800k,Staff not knowledgable
201500242,Discontinued,cantus@juno.com,Yes,Casual Visitor,2016,116.93,Below $100k,Prices too high
201500248,Discontinued,foleyt@msn.com,Yes,Casual Visitor,2015,176.03,$200-400k,Prices too high
201500257,Discontinued,m.clark@me.com,No,Wine Enthusiast,2016,2262.77,$400-800k,Not enough selection
201500265,Discontinued,sims5@sbcglobal.net,Yes,Casual Visitor,2016,494.06,$400-800k,
201500273,Discontinued,torresd@charter.net,No,Wine Enthusiast,2016,306.56,$100-200k,Not enough selection
201500276,Discontinued,m.rodriguez@hotmail.com,No,Wine Enthusiast,2016,19421.64,Above $1800k,Staff not knowledgable
201500278,Discontinued,djimenez9@live.com,Yes,Casual Visitor,2016,72.96,$200-400k,Prices too high
201500286,Discontinued,salm69@verizon.net,No,Wine Enthusiast,2016,2022.88,$200-400k,Poor service
201500294,Discontinued,r.blanchard@google.com,Yes,Casual Visitor,2016,448.35,$200-400k,Not enough selection
201500299,Discontinued,char41@mail.com,Yes,Casual Visitor,2016,93.05,$200-400k,Staff not knowledgable
201500320,Discontinued,echa66@juno.com,Yes,Casual Visitor,2015,434.33,$400-800k,Poor service
201500328,Discontinued,r.turner@live.com,Yes,Casual Visitor,2016,2195.61,$200-400k,Not enough selection
201500335,Discontinued,brodriguez@earthlink.net,Yes,Casual Visitor,2016,74.18,$400-800k,Poor service
201500346,Discontinued,ecla89@verizon.net,No,Wine Enthusiast,2015,3568.37,$800-1200k,Staff not knowledgable
201500348,Discontinued,jeaa66@sbcglobal.net,Yes,Casual Visitor,2016,743.04,$200-400k,Prices too high
201500350,Discontinued,tsmi69@gmail.com,Yes,Casual Visitor,2016,565.53,$400-800k,Staff not knowledgable
201500372,Discontinued,m.johnson@aol.com,No,Wine Enthusiast,2016,22882.78,Above $1800k,Staff not knowledgable
201500381,Discontinued,johw7@live.com,No,Wine Enthusiast,2016,2459.12,$400-800k,Staff not knowledgable
201500384,Discontinued,ajohnson@verizon.net,No,Wine Enthusiast,2015,1581.38,$200-400k,Not enough selection
201500390,Discontinued,paul6@comcast.net,No,Wine Enthusiast,2016,210.37,$100-200k,Staff not knowledgable
201500396,Discontinued,b.chapman@gmx.com,Yes,Casual Visitor,2016,261.44,$200-400k,Poor service
201500398,Discontinued,j.garrett@cox.net,Yes,Casual Visitor,2016,308.99,$400-800k,Poor service
201500401,Discontinued,odonnellm@aol.com,Yes,Casual Visitor,2016,170.01,$200-400k,Prices too high
201500402,Discontinued,allen4@hotmail.com,Yes,Casual Visitor,2016,773.32,$100-200k,Poor service
201500445,Discontinued,tannerp@comcast.net,Yes,Casual Visitor,2016,243.7,$200-400k,Prices too high
201500466,Discontinued,agon41@cox.net,Yes,Casual Visitor,2016,377.99,Below $100k,Wine quality
201500478,Discontinued,jbel1@earthlink.net,Yes,Casual Visitor,2016,395.51,Below $100k,Prices too high
201500481,Discontinued,ykennedy@mac.com,Yes,Casual Visitor,2016,1195.13,$100-200k,Poor service
201500488,Discontinued,i.dillon@aol.com,Yes,Casual Visitor,2016,1266.78,$200-400k,Prices too high
201500489,Discontinued,gonzalesl@msn.com,Yes,Casual Visitor,2016,237.22,$200-400k,Prices too high
201500491,Discontinued,hhug41@gmail.com,Yes,Casual Visitor,2016,171.74,$200-400k,Poor service
201500492,Discontinued,knorman5@me.com,Yes,Casual Visitor,2016,549.39,$200-400k,Poor service
201500501,Discontinued,dvelez8@me.com,Yes,Casual Visitor,2016,343.6,Below $100k,Prices too high
201500509,Discontinued,kellers@live.com,No,Wine Enthusiast,2016,687.15,$100-200k,Poor service
201500512,Discontinued,thomast@me.com,No,Wine Enthusiast,2016,2592.71,$400-800k,Staff not knowledgable
201500536,Discontinued,estb97@bellsouth.net,No,Wine Enthusiast,2016,616.1,$100-200k,Staff not knowledgable
201500547,Discontinued,tgraham@att.net,Yes,Casual Visitor,2016,816.81,$400-800k,
201500552,Discontinued,dcla61@charter.net,No,Wine Enthusiast,2016,3248.92,$800-1200k,Not enough selection
201500569,Discontinued,mhob68@facebook.com,Yes,Casual Visitor,2015,136.29,$200-400k,Prices too high
201500593,Discontinued,aguilar5@mail.com,Yes,Casual Visitor,2016,950.63,$400-800k,Staff not knowledgable
201500605,Discontinued,youngr@google.com,Yes,Casual Visitor,2016,623.78,$100-200k,Staff not knowledgable
201500636,Discontinued,lpar28@earthlink.net,No,Wine Enthusiast,2016,1777.18,$200-400k,Staff not knowledgable
201500637,Discontinued,jonesj@live.com,Yes,Casual Visitor,2016,81.41,$200-400k,Prices too high
201500647,Discontinued,carrr@google.com,No,Wine Enthusiast,2015,2701.19,$400-800k,Staff not knowledgable
201500648,Discontinued,jmiller@facebook.com,Yes,Casual Visitor,2015,329.78,$200-400k,Not enough selection
201500652,Discontinued,wardt@google.com,Yes,Casual Visitor,2016,84.34,$400-800k,Prices too high
201500654,Discontinued,schultz8@live.com,No,Wine Enthusiast,2016,2291.46,$400-800k,Not enough selection
201500663,Discontinued,b.moore@mac.com,No,Wine Enthusiast,2016,2436.95,$400-800k,Staff not knowledgable
201500667,Discontinued,shaw5@aol.com,Yes,Casual Visitor,2015,179.3,$100-200k,Prices too high
201500677,Discontinued,hayese@live.com,No,Wine Enthusiast,2016,543.26,$100-200k,Staff not knowledgable
201500681,Discontinued,lils71@gmail.com,Yes,Wine Enthusiast,2016,3632.32,$800-1200k,Staff not knowledgable
201500685,Discontinued,ssul98@att.net,Yes,Casual Visitor,2016,277.31,$200-400k,Prices too high
201500686,Discontinued,fraf87@gmail.com,No,Wine Enthusiast,2016,692.77,$100-200k,Staff not knowledgable
201500688,Discontinued,rsanders6@yahoo.com,No,High Roller,2015,400.65,$400-800k,Poor service
201500714,Discontinued,hmcdaniel@live.com,Yes,Casual Visitor,2016,112.68,$200-400k,
201500724,Discontinued,willisb@mac.com,No,Wine Enthusiast,2015,3633.18,$800-1200k,
201500725,Discontinued,dmorris2@hotmail.com,Yes,Casual Visitor,2016,254.26,$200-400k,
201500727,Discontinued,oneilll@gmail.com,No,High Roller,2015,284.21,$800-1200k,Poor service
201500736,Discontinued,jenr16@gmx.com,Yes,Casual Visitor,2016,961.07,$200-400k,Prices too high
201500755,Discontinued,ross6@google.com,Yes,Casual Visitor,2016,210.13,$200-400k,Prices too high
201500756,Discontinued,k.carlson@bellsouth.net,No,Wine Enthusiast,2015,1569.74,$200-400k,Not enough selection
201500757,Discontinued,r.allen@charter.net,No,Wine Enthusiast,2016,319.19,$100-200k,Staff not knowledgable
201500758,Discontinued,turner6@bellsouth.net,Yes,Casual Visitor,2015,1158.8,$100-200k,Prices too high
201500764,Discontinued,d.mcdonald@me.com,Yes,Casual Visitor,2015,783.74,$100-200k,Wine quality
201500766,Discontinued,jbsullivan@yahoo.com,Yes,Casual Visitor,2015,180.16,$200-400k,Staff not knowledgable
201500768,Discontinued,d.bailey@earthlink.net,No,Wine Enthusiast,2016,40971.2,Above $1800k,Staff not knowledgable
201500769,Discontinued,gusr86@bellsouth.net,No,Wine Enthusiast,2016,1744.34,$200-400k,Staff not knowledgable
201500771,Discontinued,kcuevas4@cox.net,Yes,Casual Visitor,2016,792.36,$200-400k,Prices too high
